iter	Quantile:alpha=0.9
157	3.959183161
158	3.929302246
159	3.902132938
160	3.867601707
161	3.825447292
162	3.803377013
163	3.769471498
164	3.744933266
165	3.721362599
166	3.693523651
167	3.660651965
168	3.64713184
169	3.612893969
170	3.589979209
171	3.569751666
172	3.538103462
173	3.510544612
174	3.487915685
175	3.463853502
176	3.439109806
177	3.418190953
178	3.394284229
179	3.374737619
180	3.343629541
181	3.327851783
182	3.30563719
183	3.287537046
184	3.269598877
185	3.245045235
186	3.223006995
187	3.206567304
188	3.186950878
189	3.168366257
190	3.150362071
191	3.131907567
192	3.115519198
193	3.09672522
194	3.079997518
195	3.063409496
196	3.048728519
197	3.034352326
198	3.014603012
199	3.004204878
200	2.98308308
201	2.967883049
202	2.946096118
203	2.932111018
204	2.915960212
205	2.895072417
206	2.883580296
207	2.860153191
208	2.838075746
209	2.817425725
210	2.803675049
211	2.787523152
212	2.775309364
213	2.761243579
214	2.752350964
215	2.726048951
216	2.71307259
217	2.703134618
218	2.69024306
219	2.673067385
220	2.659014572
221	2.641762353
222	2.627169925
223	2.613322312
224	2.593455005
225	2.584844178
226	2.56931853
227	2.558597924
228	2.551897777
229	2.540296824
230	2.532004472
231	2.518777709
232	2.506669003
233	2.493015489
234	2.482956611
235	2.474031219
236	2.470470535
237	2.463287073
238	2.45096
239	2.442862854
240	2.427459953
241	2.415537354
242	2.402156864
243	2.392313218
244	2.382234498
245	2.368622841
246	2.358132632
247	2.347294626
248	2.339323907
249	2.327487217
250	2.315447071
251	2.309337957
252	2.301151079
253	2.291644654
254	2.279885675
255	2.265444769
256	2.256269887
257	2.243523131
258	2.232808526
259	2.221716737
260	2.213252863
261	2.208040636
262	2.202159986
263	2.193155341
264	2.181564596
265	2.172216514
266	2.164602708
267	2.157367347
268	2.151248782
269	2.141827933
270	2.133039233
271	2.124664443
272	2.121570304
273	2.117068248
274	2.112056408
275	2.103379827
276	2.097799164
277	2.09104273
278	2.084630617
279	2.075640219
280	2.070153454
281	2.063173179
282	2.058143953
283	2.051484726
284	2.045378295
285	2.041032097
286	2.036640984
287	2.030917527
288	2.026377735
289	2.022258521
290	2.018590399
291	2.014645076
292	2.010692859
293	2.004376243
294	1.998559704
295	1.994001662
296	1.989435371
297	1.985845292
298	1.979751454
299	1.972385459
300	1.964321776
301	1.959826266
302	1.955709777
303	1.950874267
304	1.947604627
305	1.94448925
306	1.94221516
307	1.936611302
308	1.931029889
309	1.922694235
310	1.920270789
311	1.915704738
312	1.910816749
313	1.907833818
314	1.902281833
315	1.893854214
316	1.889550715
317	1.886611447
318	1.883591873
319	1.881056063
320	1.875522274
321	1.870895358
322	1.864348017
323	1.859355198
324	1.856828512
325	1.854707658
326	1.850529252
327	1.845035251
328	1.838360682
329	1.833633374
330	1.827832462
331	1.824882626
332	1.821281115
333	1.817906453
334	1.815075575
335	1.811688084
336	1.809964344
337	1.807719435
338	1.803596887
339	1.799131424
340	1.797575578
341	1.79425678
342	1.786221345
343	1.784083692
344	1.774030283
345	1.770923947
346	1.768778064
347	1.766204957
348	1.759920519
349	1.757010751
350	1.755262766
351	1.751071987
352	1.746426122
353	1.744687681
354	1.742680404
355	1.74035321
356	1.73733016
357	1.734522509
358	1.731809634
359	1.72654506
360	1.724018579
361	1.721461825
362	1.719667237
363	1.716971013
364	1.715093401
365	1.710516339
366	1.706691344
367	1.703023056
368	1.698325275
369	1.696584043
370	1.69539566
371	1.691880508
372	1.690185035
373	1.688172408
374	1.68633544
375	1.683971923
376	1.680371934
377	1.677692931
378	1.675185677
379	1.67331864
380	1.67179887
381	1.670348781
382	1.666064831
383	1.664728038
384	1.66269789
385	1.661279065
386	1.659371542
387	1.656099447
388	1.652489376
389	1.650298553
390	1.646963849
391	1.642420364
392	1.637717108
393	1.635761132
394	1.6339979
395	1.631146999
396	1.629132657
397	1.627566997
398	1.62632178
399	1.62469159
400	1.623255872
401	1.620529881
402	1.61949081
403	1.617669234
404	1.612857162
405	1.611599944
406	1.609964017
407	1.608315446
408	1.60132077
409	1.599594325
410	1.596772016
411	1.595551009
412	1.59379057
413	1.5897614
414	1.588153639
415	1.585860634
416	1.58404144
417	1.579206707
418	1.577593891
419	1.575893503
420	1.574419615
421	1.573079374
422	1.570558718
423	1.568591367
424	1.564477394
425	1.562592727
426	1.561012739
427	1.559950566
428	1.557194015
429	1.554977227
430	1.553774132
431	1.552632349
432	1.5514209
433	1.549396732
434	1.547445268
435	1.545979063
436	1.544217187
437	1.542462662
438	1.540451377
439	1.539425261
440	1.538026382
441	1.536651316
442	1.53461519
443	1.533131227
444	1.529286596
445	1.527797765
446	1.524936808
447	1.523430513
448	1.518324385
449	1.515650609
450	1.51445201
451	1.513360986
452	1.511323022
453	1.508261153
454	1.505994913
455	1.503872075
456	1.502671369
457	1.501240589
458	1.499810452
459	1.498524849
460	1.496941615
461	1.493127928
462	1.492035049
463	1.490528406
464	1.488034383
465	1.487192756
466	1.48509102
467	1.481877455
468	1.481216332
469	1.477999516
470	1.476533844
471	1.474176101
472	1.472717373
473	1.47189621
474	1.46827912
475	1.466827089
476	1.465814287
477	1.464594544
478	1.463602842
479	1.462266575
480	1.461100408
481	1.460158284
482	1.457035869
483	1.455085643
484	1.453534159
485	1.451944216
486	1.451116777
487	1.449726596
488	1.448211153
489	1.447559588
490	1.446436029
491	1.445126706
492	1.443653267
493	1.442098294
494	1.441157133
495	1.440001663
496	1.438797358
497	1.437893491
498	1.436891064
499	1.43482453
500	1.433898286
501	1.433004543
502	1.43146258
503	1.430808752
504	1.429582758
505	1.428549695
506	1.427303332
507	1.426858087
508	1.425607084
509	1.424084956
510	1.422058277
511	1.421277917
512	1.420725554
513	1.418223758
514	1.416740571
515	1.415872596
516	1.414703694
517	1.413835636
518	1.41235557
519	1.411049756
520	1.409290588
521	1.408495725
522	1.407377006
523	1.403865665
524	1.400887073
525	1.399300941
526	1.397401864
527	1.396687039
528	1.396177854
529	1.394697615
530	1.393546044
531	1.392677035
532	1.391638591
533	1.388788468
534	1.387764658
535	1.385130725
536	1.382735874
537	1.381315557
538	1.380397964
539	1.37836658
540	1.377379276
541	1.374939825
542	1.374199959
543	1.373090432
544	1.371648528
545	1.369903469
546	1.368886843
547	1.367904818
548	1.365375511
549	1.364356817
550	1.363611611
551	1.36031447
552	1.359248281
553	1.358374133
554	1.356041634
555	1.355231635
556	1.353878886
557	1.352561834
558	1.351824144
559	1.351278127
560	1.350464745
561	1.349557923
562	1.348211896
563	1.347526901
564	1.345879493
565	1.344964393
566	1.343886552
567	1.343266409
568	1.341667662
569	1.33988018
570	1.339092673
571	1.336682114
572	1.33536462
573	1.334776968
574	1.334110105
575	1.333360309
576	1.3321559
577	1.331085929
578	1.330274726
579	1.329774905
580	1.327669303
581	1.326400687
582	1.325612031
583	1.32484669
584	1.324299887
585	1.323620057
586	1.321765258
587	1.320515069
588	1.319505569
589	1.318426997
590	1.317655109
591	1.317305494
592	1.316251791
593	1.315459178
594	1.314513687
595	1.313198385
596	1.312327057
597	1.311008184
598	1.308061508
599	1.306933793
600	1.30577503
601	1.302515734
602	1.301359771
603	1.300521431
604	1.298254046
605	1.297721055
606	1.29528168
607	1.29419735
608	1.293005103
609	1.291633101
610	1.290614817
611	1.288961247
612	1.287929077
613	1.287218225
614	1.285958739
615	1.284639494
616	1.283513906
617	1.282261348
618	1.281366341
619	1.280601846
620	1.279361297
621	1.278587448
622	1.277761547
623	1.276729685
624	1.276024994
625	1.275384096
626	1.274881105
627	1.274185807
628	1.272875745
629	1.272094847
630	1.270934977
631	1.270326937
632	1.269825932
633	1.268811794
634	1.267664741
635	1.267281176
636	1.265694509
637	1.265009506
638	1.264245638
639	1.263392229
640	1.261414416
641	1.260868421
642	1.259857744
643	1.25878988
644	1.257725313
645	1.256927283
646	1.256405042
647	1.255091561
648	1.254865764
649	1.254425795
650	1.253332056
651	1.252482002
652	1.251791501
653	1.25032768
654	1.24898603
655	1.248107887
656	1.245790387
657	1.24496637
658	1.243912635
659	1.242822781
660	1.241546935
661	1.240625569
662	1.238514111
663	1.23721935
664	1.235869616
665	1.235042265
666	1.234239288
667	1.233169772
668	1.232187796
669	1.231624926
670	1.230594715
671	1.229626656
672	1.228864986
673	1.226040626
674	1.225572364
675	1.224885949
676	1.224236759
677	1.223052535
678	1.222429419
679	1.220305004
680	1.218946622
681	1.216967136
682	1.216436157
683	1.215370251
684	1.213851733
685	1.212171875
686	1.211398422
687	1.210369314
688	1.208854219
689	1.207770651
690	1.207206222
691	1.205789671
692	1.204768775
693	1.204366469
694	1.203809819
695	1.203318865
696	1.202736165
697	1.202303972
698	1.201798038
699	1.201018444
700	1.2004989
701	1.200104221
702	1.199033074
703	1.198528073
704	1.197765765
705	1.196877313
706	1.196112931
707	1.195213171
708	1.194438651
709	1.193909007
710	1.193307797
711	1.192694592
712	1.192150769
713	1.190326196
714	1.190105589
715	1.189339439
716	1.188639733
717	1.18792567
718	1.186956053
719	1.18614623
720	1.185687349
721	1.185285892
722	1.184270298
723	1.183876941
724	1.182530721
725	1.182013804
726	1.181488478
727	1.180953456
728	1.180138331
729	1.179820956
730	1.179181115
731	1.178615476
732	1.177785707
733	1.177430941
734	1.17675408
735	1.176089475
736	1.175539206
737	1.174947244
738	1.173750413
739	1.173214421
740	1.172750567
741	1.171417569
742	1.170203432
743	1.169660842
744	1.168515306
745	1.167020532
746	1.166358145
747	1.165896116
748	1.165141092
749	1.16474335
750	1.164347362
751	1.163951452
752	1.163282989
753	1.162631478
754	1.161414858
755	1.160412003
756	1.16012958
757	1.159197582
758	1.158236955
759	1.157895008
760	1.157566692
761	1.157146777
762	1.156529792
763	1.156189093
764	1.154814569
765	1.154405096
766	1.153100508
767	1.152580092
768	1.151999433
769	1.151511299
770	1.150560236
771	1.1500965
772	1.149624135
773	1.149083206
774	1.148713505
775	1.148214777
776	1.147212378
777	1.14685719
778	1.146209875
779	1.145091286
780	1.144618452
781	1.143996245
782	1.143187186
783	1.142744112
784	1.142275529
785	1.141742818
786	1.141382329
787	1.141098488
788	1.140711903
789	1.140152778
790	1.139763317
791	1.139584361
792	1.138975624
793	1.138730229
794	1.138357906
795	1.137819635
796	1.136874366
797	1.136688293
798	1.136166288
799	1.135149859
800	1.13482668
801	1.134600481
802	1.133882471
803	1.133221261
804	1.132345108
805	1.131601182
806	1.131013936
807	1.130758614
808	1.130295364
809	1.130044338
810	1.129691102
811	1.129392975
812	1.12910953
813	1.128360531
814	1.127848778
815	1.127226762
816	1.126821261
817	1.126415102
818	1.126107371
819	1.125316867
820	1.124441623
821	1.123873966
822	1.123401478
823	1.123062968
824	1.121588524
825	1.121141844
826	1.120600065
827	1.119851504
828	1.118992224
829	1.118716905
830	1.117942035
831	1.117218227
832	1.116807994
833	1.116536614
834	1.116055519
835	1.115609093
836	1.114995437
837	1.113856595
838	1.113471587
839	1.112704249
840	1.11216923
841	1.11168008
842	1.111125363
843	1.110729809
844	1.1104094
845	1.110059184
846	1.109338922
847	1.108411977
848	1.107519547
849	1.107201635
850	1.105669458
851	1.105398965
852	1.105080021
853	1.10466756
854	1.103417089
855	1.102943956
856	1.102395884
857	1.100822294
858	1.100430295
859	1.099867509
860	1.099490705
861	1.099080233
862	1.098359198
863	1.098154147
864	1.0976061
865	1.096498418
866	1.095797107
867	1.095513391
868	1.094903925
869	1.094107063
870	1.092652387
871	1.092310821
872	1.09170325
873	1.091317957
874	1.091111949
875	1.090612217
876	1.089883859
877	1.089474764
878	1.089082825
879	1.088237964
880	1.087717026
881	1.087447979
882	1.086514699
883	1.085677666
884	1.084842706
885	1.084317144
886	1.083162295
887	1.082611614
888	1.081676675
889	1.081115822
890	1.08069431
891	1.07943039
892	1.079178295
893	1.078513808
894	1.077540699
895	1.077365726
896	1.076977081
897	1.076577488
898	1.076051715
899	1.075792608
900	1.075145918
901	1.074768884
902	1.074258118
903	1.073970233
904	1.073437113
905	1.073135338
906	1.072535776
907	1.071710555
908	1.071406749
909	1.071048686
910	1.070434046
911	1.069970035
912	1.069351209
913	1.068654093
914	1.068196487
915	1.067556727
916	1.067367202
917	1.067081456
918	1.066301448
919	1.06586608
920	1.065473693
921	1.065162451
922	1.064707587
923	1.064200549
924	1.063618834
925	1.063098667
926	1.062677547
927	1.062381618
928	1.061896462
929	1.06147724
930	1.060667876
931	1.060110975
932	1.059676444
933	1.059031162
934	1.058673057
935	1.058447884
936	1.058128263
937	1.057666105
938	1.057123212
939	1.056873364
940	1.056486611
941	1.056161584
942	1.05594254
943	1.055474122
944	1.055173695
945	1.054806124
946	1.054429622
947	1.054202013
948	1.053792219
949	1.053565022
950	1.053444968
951	1.05245154
952	1.052188084
953	1.051890803
954	1.051714375
955	1.051531214
956	1.05123172
957	1.051018306
958	1.050859017
959	1.050531045
960	1.050251116
961	1.050072544
962	1.049832494
963	1.049385946
964	1.049045628
965	1.047698044
966	1.047068444
967	1.046866553
968	1.045900209
969	1.04500244
970	1.044656944
971	1.044346753
972	1.043672905
973	1.04330846
974	1.042279751
975	1.041999032
976	1.041517356
977	1.040442558
978	1.039801341
979	1.039580854
980	1.039245136
981	1.038847137
982	1.038257348
983	1.03770837
984	1.03727958
985	1.037026396
986	1.036808359
987	1.03636998
988	1.03618803
989	1.035756651
990	1.035324911
991	1.034709225
992	1.034608731
993	1.03446404
994	1.034192583
995	1.033943447
996	1.03357513
997	1.03329678
998	1.032755526
999	1.032236288
